ID,literal,Meanings
6316,黨,"['party', 'faction', 'clique']"
6317,黯,"['black', 'dark']"
6318,黴,"['mold', 'mildew']"
6319,黶,"['mole', 'scar', 'blemish']"
6320,黷,"['make dirty', 'become dirty']"
6321,黹,['sewing radical (no. 204)']
6322,黻,"['lap robe', 'embroidery pattern']"
6323,黼,['embroidery']
6324,黽,"['green frog', 'industry']"
6325,鼇,['great sea turtle']
6326,鼈,"['snapping turtle', 'fresh-water turtle']"
6327,皷,"['drum', 'beat', 'rouse']"
6328,鼕,['beating of drums']
6329,鼡,"['rat', 'mouse', 'dark gray']"
6330,鼬,"['weasel', 'skunk', 'ermine']"
6331,鼾,['snoring']
6332,齊,"['alike', 'equal', 'similar', 'Saito']"
6333,齒,"['tooth', 'cog']"
6334,齔,"['losing baby teeth', 'child']"
6335,齣,"['a paragraph', 'section']"
6336,齟,"['uneven', 'bite', 'disagree']"
6337,齠,"['baby teeth', 'young child']"
6338,齡,['age']
6339,齦,['gums']
6340,齧,"['gnaw', 'nibble', 'munch', 'have a smattering of']"
6341,齬,['irregular teeth']
6342,齪,['grating the teeth']
6343,齷,"['grating the teeth', 'fretful']"
6344,齲,"['decayed tooth', 'cavity']"
6345,齶,['jaw']
6346,龕,['alcove for an image']
6347,龜,"['turtle', 'tortoise']"
6348,龠,['flute']
6349,堯,"['high', 'far']"
6350,槇,"['twig', 'Chinese black pine']"
6351,遙,"['far off', 'distant', 'long ago']"
6352,瑤,['beautiful (as a jewel)']
6353,凜,"['cold', 'strict', 'severe']"
6354,熙,"['bright', 'sunny', 'prosperous', 'merry']"
6355,丂,"['obstruction of breath (qi) as it seeks release', 'variant of other characters']"
6356,丄,['above']
6357,丅,"['under', 'underneath', 'below', 'down', 'inferior', 'bring down']"
6358,丌,['table']
6359,丒,"['the period from 1 to 3 am', '2nd character of the ""branches""']"
6360,丟,"['discard', 'reject', 'lose']"
6361,丣,['the tenth of the twelve Terrestrial Branches (ancient form)']
6362,两,"['two', 'both', 'pair', 'couple', 'ounce']"
6363,丨,"['number one', 'line', 'rod radical (no. 2)']"
6364,丫,"['bifurcation', 'fork']"
6365,丮,['catch']
6366,丯,['dense']
6367,丰,"['abundant', 'lush', 'bountiful', 'plenty', 'fat face', 'luxurious growth of grass']"
6368,丵,['thick (grass)']
6369,乀,['stretch']
6370,乁,[]
6371,乄,"['to find a place to dwell', 'sum', 'measurement of paper', 'to do', 'adding up', 'bundle', '8.5 lb', '(kokuji)']"
6372,乇,"['to depend on', 'to entrust with']"
6373,乑,"['stand side by side', 'assemble']"
6374,乚,"['hidden', 'mysterious', 'secret', 'to conceal', 'small', 'minute', 'fishhook radical variant (no. 5)']"
6375,乜,"['to squint', 'what? huh? (Cant.)']"
6376,乣,[]
6377,乨,"['the beginning', 'to start', 'to begin', 'to be the first']"
6378,乩,['to divine']
6379,乴,[]
6380,乵,"['to enter', 'to make progress', 'to advance', 'to urge forward']"
6381,乹,"['drought', 'dry', 'dessicate', 'drink up', 'heaven', 'emperor']"
6382,乿,"['to cure', 'to heal']"
6383,亍,"['to take small steps', 'Korean place name']"
6384,亖,['four']
6385,亗,"['harvest', 'year', 'age']"
6386,亝,"['even', 'regular', 'uniform all alike', 'to arrange']"
6387,亯,"['to receive', 'to enjoy']"
6388,亹,"['progress', 'busy', 'untiring', 'exert']"
6389,仃,"['lonely', 'solitary']"
6390,仐,[]
6391,仚,['to fly']
6392,仛,"['young girl', 'strange', 'different']"
6393,仠,[]
6394,仡,"['strong', 'valiant']"
6395,仢,[]
6396,仨,[]
6397,仯,[]
6398,仱,[]
6399,仳,"['separate', 'part company']"
6400,仵,['similar']
6401,份,"['portion', 'part', 'duty']"
6402,仾,"['to hang the head', 'to bow the head', 'to droop', 'to lower', 'low', 'beneath']"
6403,仿,"['imitate', 'copy', 'as if', 'stand still', 'wander']"
6404,伀,['excited']
6405,伂,[]
6406,伃,['handsome']
6407,伈,"['nervous', 'fearful']"
6408,伋,['deceptive']
6409,伌,[]
6410,伒,[]
6411,伕,['common laborer']
6412,伖,[]
6413,众,"['multitude', 'crowd', 'masses', 'public']"
6414,伙,"['companion', 'colleague', 'utensils']"
6415,伮,['to make a great effort']
6416,伱,"['thou', 'you']"
6417,你,"['you', 'second person pronoun']"
6418,伳,[]
6419,伵,[]
6420,伷,['descendent']
6421,伹,"['dull', 'slow', 'unskillful']"
6422,伻,"['messenger', 'emissary', 'send emissary']"
6423,伾,['mighty']
6424,佀,['resemble']
6425,佂,[]
6426,佈,"['spread', 'publicize', 'announce']"
6427,佉,"['surname', 'name of a divine being', '(transliteration of Sanskrit ""kh"")']"
6428,佋,"['continue', 'carry on', 'hand down', 'to join']"
6429,佌,['small']
6430,佒,[]
6431,佔,"['occupy by force', 'usurp', 'possess']"
6432,佖,[]
6433,佘,['surname']
6434,佟,['name']
6435,佣,['commission fee']
6436,佪,"['hesitate', 'go around']"
6437,佬,"['(Cantonese) man', 'person', 'mature']"
6438,佮,[]
6439,佱,[]
6440,佷,['to act contrary to']
6441,佸,['meet']
6442,佹,"['depend upon', 'support', 'go against', '(variant deceive)']"
6443,佺,['fairy']
6444,佽,"['aid', 'help']"
6445,佾,['row or file of dancers']
6446,侁,['crowd']
6447,侂,"['to commission', 'to entrust to', 'to depute', 'to request', 'to ask']"
6448,侄,['nephew']
6449,侅,"['to give', 'prepared for included in', 'embraced in']"
6450,侉,[]
6451,侊,['big']
6452,侌,[]
6453,侎,"['to soothe', 'to pacify', 'to settle', 'to establish']"
6454,侐,['quiet']
6455,侒,[]
6456,侓,[]
6457,侔,['equal']
6458,侗,"['big', 'ignorant', 'rude', 'rustic']"
6459,侙,[]
6460,侚,['fast']
6461,侞,[]
6462,侟,[]
6463,侲,[]
6464,侷,"['narrow', 'cramped', 'confined']"
6465,侹,[]
6466,侻,[]
6467,侼,[]
6468,侽,[]
6469,侾,[]
6470,俀,[]
6471,俁,['big']
6472,俅,['ornamental cap']
6473,俆,[]
6474,俈,"['to inform quickly', 'an urgent communication']"
6475,俉,[]
6476,俋,[]
6477,俌,[]
6478,俍,[]
6479,俏,"['like', 'similar', 'resemble', 'pretty', 'disguise oneself as', 'dress up', 'pine away']"
6480,俒,[]
6481,俜,"['to trust to', 'send a message']"
6482,俠,"['chivalrous person', 'chivalry', 'knight-errant', 'tomboy']"
6483,俢,[]
6484,俰,[]
6485,俲,[]
6486,俼,[]
6487,俽,[]
6488,俿,[]
6489,倀,['ghost of one devoured by tiger']
6490,倁,[]
6491,倄,[]
6492,倇,[]
6493,倊,[]
6494,倌,"['assistant in wine shop', 'groom']"
6495,倎,[]
6496,倐,"['hastily', 'suddenly']"
6497,倓,[]
6498,倗,[]
6499,倘,"['if', 'supposing', 'in event of', 'dullness']"
6500,倛,[]
6501,倜,"['raise high', 'unrestrained']"
6502,倝,"['sunrise', 'dawn']"
6503,倞,['far']
6504,倢,"['beautiful', 'handsome', 'woman', 'fast', 'speedy']"
6505,倧,[]
6506,倮,"['bare', 'naked', 'uncovered']"
6507,倰,[]
6508,倲,[]
6509,倳,[]
6510,倵,[]
6511,偀,[]
6512,偁,['state']
6513,偂,[]
6514,偅,[]
6515,偆,[]
6516,偊,"['to walk alone', 'self-reliant']"
6517,偌,"['thus', 'so', 'like', 'such']"
6518,偎,"['cling to', 'cuddle', 'embrace', 'fondle']"
6519,偑,[]
6520,偒,[]
6521,偓,['fuss']
6522,偗,[]
6523,偙,[]
6524,偟,"['agitated', 'alarmed']"
6525,偠,[]
6526,偢,['to stare at']
6527,偣,[]
6528,偦,[]
6529,偧,[]
6530,偪,"['compel', 'pressure', 'force', 'bother']"
6531,偭,['transgress']
6532,偰,[]
6533,偱,[]
6534,倻,['phonetic used in Korean place names']
6535,傁,['old man']
6536,傃,[]
6537,傄,[]
6538,傆,[]
6539,傊,[]
6540,傎,['topple']
6541,傏,"['to ward off', 'to parry', 'to keep out (e.g. wind, rain or cold)']"
6542,傐,[]
6543,傒,"['personal name', 'servant']"
6544,傓,[]
6545,傔,['servant']
6546,傖,"['vulgar person', 'country man']"
6547,傛,[]
6548,傜,['minority tribe']
6549,傞,['unsteady']
6550,傟,[]
6551,傠,[]
6552,傡,[]
6553,傢,"['stubborn', 'obstinate', 'intransigent']"
6554,傪,[]
6555,傯,['urgent']
6556,傰,[]
6557,傹,[]
6558,傺,"['to hinder', 'to detain']"
6559,傽,['terror-stricken']
6560,僀,[]
6561,僃,['prepared']
6562,僄,"['light', 'airy']"
6563,僇,"['humiliate', 'treat with contempt']"
6564,僌,[]
6565,僎,['collect']
6566,僐,[]
6567,僓,[]
6568,僔,[]
6569,僘,[]
6570,僜,[]
6571,僝,"['to revile', 'to abuse']"
6572,僟,[]
6573,僢,[]
6574,僤,['sincere']
6575,僦,"['to heir', 'to rent']"
6576,僨,"['ruin', 'cause fail', 'overthrown']"
6577,僩,"['courageous', 'martial', 'dignified']"
6578,僯,['ashamed']
6579,僱,"['employ', 'hire']"
6580,僶,[]
6581,僺,[]
6582,僾,['like']
6583,儃,[]
6584,儆,"['warn', 'warning']"
6585,儇,[]
6586,儈,"['go-between', 'broker', 'proxy', 'middleman']"
6587,儋,"['small jar', 'to bear a burden', 'load of two']"
6588,儌,"['lucky', 'fortunate']"
6589,儍,"['foolish', 'silly', 'imbecile']"
6590,儎,"['carry', 'contain', 'load']"
6591,僲,[]
6592,儐,['entertain guests']
6593,儗,"['compare with', 'draw analogy with']"
6594,儙,[]
6595,儛,"['to skip about', 'to dance for joy']"
6596,儜,"['weak', 'wearied', 'in distress']"
6597,儝,[]
6598,儞,[]
6599,儣,[]
6600,儧,[]
6601,儨,[]
6602,儬,[]
6603,儭,"['to assist', 'to give alms']"
6604,儯,[]
6605,儱,"['rude', 'barbarous']"
6606,儳,"['obstinate', 'stupid', 'uneven', 'mix']"
6607,儴,[]
6608,儵,[]
6609,儸,"['bandit', 'dare-devil']"
6610,儹,"['to accumulate', 'to hoard', 'to store up']"
6611,兂,"['hairpin', 'clasp', 'wear in hair']"
6612,兊,[]
6613,兏,[]
6614,兓,[]
6615,兕,['female rhinoceros']
6616,兗,"['establish', 'one of nine empire divisions']"
6617,兘,[]
6618,兟,['to advance']
6619,兤,[]
6620,兦,['destruction']
6621,兾,[]
6622,冃,[]
6623,冄,"['tender', 'weak', 'gradually alternating']"
6624,冋,"['desert', 'border prairie', 'the 1st form is radical 13']"
6625,冎,[]
6626,冘,"['to move on', 'doubtful']"
6627,冝,"['suitable', 'right', 'fitting', 'proper']"
6628,冡,[]
6629,冣,[]
6630,冭,[]
6631,冸,[]
6632,冺,[]
6633,冼,[]
6634,冾,[]
6635,冿,[]
6636,凂,"['to request', 'to ask a favour of']"
6637,凈,"['clean', 'pure', 'cleanse']"
6638,减,"['decrease', 'subtract', 'diminish']"
6639,凑,"['piece together', 'assemble']"
6640,凒,[]
6641,凓,"['shiver', 'severe cold']"
6642,凕,[]
6643,凘,[]
6644,凞,"['bright', 'splendid', 'glorious']"
6645,凢,"['all', 'any', 'every ordinary', 'common']"
6646,凥,['to dwell']
6647,凮,['wind']
6648,凲,[]
6649,凳,"['bench', 'stool']"
6650,凴,"['to rely on', 'depend on', 'evidence', 'proof']"
6651,凷,"['dirt clod', 'piece']"
6652,刁,"['tricky', 'sly', 'crafty', 'cunning']"
6653,刂,"['knife', 'standing sword radical (no. 18)']"
6654,刅,"['to wound', 'to create', 'to make', 'to invent', 'to begin', 'double-edged sword']"
6655,划,"['row a boat', 'paddle a boat', 'finger guess']"
6656,刓,['trim']
6657,刕,[]
6658,刖,['cutting off feet as form of punishment']
6659,刘,"['surname', 'kill', 'destroy']"
6660,刢,[]
6661,刨,"[""carpenter's plane"", 'plane', 'level']"
6662,刱,"['establish', 'create', 'knife cut']"
6663,刲,"['cut', 'slice off', 'pierce']"
6664,刵,['punishment by cutting off ears']
6665,刼,"['to plunder', 'to rob openly']"
6666,剅,[]
6667,剉,"['cut', 'file', 'trim']"
6668,剕,[]
6669,剗,"['to level off', 'to trim', 'to pare down']"
6670,剘,[]
6671,剚,['stab']
6672,剜,"['cut', 'cut out', 'pick out', 'scoop out']"
6673,剟,"['to prick', 'to cut blocks', 'to engrave']"
6674,剠,['brand']
6675,剡,"['sharp', 'sharp-pointed', 'sharpen']"
6676,剦,['to castrate']
6677,剮,"['cut', 'cut flesh from bones']"
6678,剷,"['level off', 'pare down', 'raze ground']"
6679,剸,['cut']
6680,剹,[]
6681,劀,[]
6682,劂,"['chisel for engraving', 'engrave']"
6683,劅,[]
6684,劊,"['amputate', 'cut off']"
6685,劌,"['to cut', 'injure', 'stab', 'stick on']"
6686,劓,['cut off nose']
6687,劕,[]
6688,劖,"['make into mince', 'cut']"
6689,劗,[]
6690,劘,['make into mince']
6691,劚,['cut']
6692,劜,[]
6693,劤,['strong']
6694,劥,[]
6695,劦,[]
6696,劧,[]
6697,劯,[]
6698,劰,[]
6699,劶,[]
6700,劷,[]
6701,劸,[]
6702,劺,[]
6703,劻,"['flurried', 'be in flurry', 'zealous']"
6704,劽,[]
6705,勀,[]
6706,勄,"['active', 'clever', 'prompt witty', 'smart', 'earnest', 'diligent', 'to hasten']"
6707,勆,[]
6708,勈,[]
6709,勌,"['to labor', 'tired']"
6710,勏,[]
6711,勑,['reward']
6712,勔,"['endeavor', 'make effort', 'urge']"
6713,勖,"['enjoin', 'advise', 'preach to']"
6714,勛,"['meritorious deed', 'merits', 'rank']"
6715,勜,[]
6716,勡,[]
6717,勥,[]
6718,勨,[]
6719,勩,"['work hard', 'belabored', 'toil']"
6720,勪,[]
6721,勬,[]
6722,勰,"['peaceful', 'harmonious']"
6723,勱,"['put forth effort', 'strive forward']"
6724,勴,[]
6725,勶,[]
6726,勷,"['urgent', 'in haste', 'hurriedly', 'help']"
6727,匀,['equal']
6728,匃,"['beggar', 'beg', 'give']"
6729,匊,['handful']
6730,匋,['pottery']
6731,匌,[]
6732,匑,[]
6733,匓,[]
6734,匘,['the brain']
6735,匛,"['bier', 'coffin']"
6736,匜,"['basin', 'container for wine']"
6737,匞,[]
6738,匟,['divan for two persons']
6739,匥,[]
6740,匧,"['trunk', 'portfolio']"
6741,匨,[]
6742,匩,[]
6743,匫,[]
6744,匬,[]
6745,匭,"['small box', 'chest', 'casket']"
6746,匰,[]
6747,匲,['cosmetics box']
6748,匵,"['case', 'casket']"
6749,匼,"['hood', 'flattering', 'enclosed in something that goes round and round']"
6750,匽,"['to hide', 'to secrete', 'to repress', 'to bend']"
6751,匾,"['flat', 'round split-bamboo contain']"
6752,卂,['to fly rapidly']
6753,卌,['40']
6754,卋,"['generation', 'world', 'society', 'public']"
6755,卙,[]
6756,卛,[]
6757,卡,"['card', 'punch card', 'calorie']"
6758,卣,['wine pot']
6759,卥,[]
6760,卬,"['lofty', 'high', 'raise', 'high-priced']"
6761,卭,"['high', 'to raise']"
6762,卲,"['eminent', 'lofty', 'beautiful', 'surname']"
6763,卹,"['sympathy', 'pity', 'comfort']"
6764,卾,[]
6765,厃,['to look upward']
6766,厇,[]
6767,厈,[]
6768,厎,['settle']
6769,厓,"['precipice', 'shore', 'bank', 'surname', 'cliff']"
6770,厔,"['stop', 'hinder', 'place near water']"
6771,厙,['surname']
6772,厝,"['cut', 'engrave', 'gravest']"
6773,厡,"['meadow', 'original', 'primitive', 'field', 'plain', 'prairie', 'tundra', 'wilderness']"
6774,厤,"['to calculate', 'the calendar']"
6775,厪,"['hut', 'careful']"
6776,厫,['granary']
6777,厯,[]
6778,厲,"['whetstone', 'grind', 'sharpen', 'whet', 'encourage']"
6779,厴,['shell']
6780,厵,"['spring', 'source']"
6781,厷,"['the fore-arm', 'the upper-arm', 'round']"
6782,厸,[]
6783,厺,"['to go', 'depart']"
6784,厽,[]
6785,叀,"['spool used to collect spun thread', 'generally', 'wholly']"
6786,叅,"['to counsel', 'to consult together', 'to take part in', 'to intervene']"
6787,叏,[]
6788,叒,"['obedient', 'united']"
6789,叓,"['affair', 'matter', 'work']"
6790,叕,"['concatenate', 'compose', 'covered in a gauze like net']"
6791,叚,['false']
6792,叝,['to respectfully inform']
6793,叞,[]
6794,叠,"['pile', 'be piled up', 'fold up']"
6795,另,"['another', 'separate', 'other']"
6796,叧,"['to cut meat off away from bones', 'ancient torture']"
6797,叵,"['cannot', 'be unable do', 'improbable', 'thereupon']"
6798,吂,[]
6799,吓,"['scare', 'frighten', 'intimidate']"
6800,吚,['used to represent sound']
6801,吡,['blame']
6802,吧,['emphatic final particle']
6803,吨,['metric ton']
6804,吪,['move']
6805,启,"['open', 'begin', 'commence', 'explain']"
6806,吱,"['chirping', 'squeaking', 'hissing']"
6807,吴,"['name of warring state', 'surname']"
6808,吵,"['argue', 'dispute', 'disturb', 'annoy']"
6809,呃,"['belch', 'hiccup']"
6810,呄,[]
6811,呇,['star']
6812,呍,"['moo of a cow', 'scream', 'to yell', 'dogs barking at each other']"
6813,呏,"['gallon', 'quart']"
6814,呞,[]
6815,呢,"['emphatic final', 'interrogative']"
6816,呤,[]
6817,呦,['the bleating of the deer']
6818,呧,"['to rebuke', 'to scold', 'slander']"
6819,呩,[]
6820,呫,"['whisper', 'lick', 'taste', 'petty']"
6821,呭,"['final particle expressing consent', 'talkative']"
6822,呮,['to sit']
6823,呴,"['breathe on', 'yawn', 'roar']"
6824,呿,['to yawn']
6825,咁,['so']
6826,咃,[]
6827,咅,['to spit out']
6828,咈,['oppose']
6829,咉,"['an echo', 'sound', 'to vomit (as an infant)']"
6830,咍,['laugh']
6831,咑,[]
6832,咕,"['mumble', 'mutter', 'murmur', 'rumble']"
6833,咖,['coffee']
6834,咜,['to scold']
6835,咟,[]
6836,咡,['side of mouth']
6837,咦,['expression of surprise']
6838,咧,"['stretch mouth', 'grimace', 'grin']"
6839,咩,['the bleating of sheep']
6840,咪,"['sound of cat', ""cat's meow"", 'meter', ""(Cantonese) don't!""]"
6841,咭,"['sound of laughter', 'sound of mice squeaking']"
6842,咮,['beak']
6843,咱,['us']
6844,咷,"['howl', 'cry loudly']"
6845,咹,[]
6846,咺,['majestic']
6847,咻,['shout']
6848,咿,"['descriptive of creaking', 'laugh']"
6849,哆,"['tremble', 'shiver', 'shudder', 'quiver']"
6850,哊,[]
6851,响,"['make sound', 'make noise', 'sound']"
6852,哎,['interjection of surprise']
6853,哠,[]
6854,哪,['which? where? how?']
6855,哬,['sound of a large crowd of people']
6856,哯,"['vomit', 'spit up']"
6857,哶,['bleat']
6858,哼,"['hum', 'sing softly', 'groan', 'moan']"
6859,哾,[]
6860,哿,"['excellent', 'to commend', 'to be able to']"
6861,唀,['call out to and deceive']
6862,唁,['express condolence']
6863,唅,"['sound', 'to put in the mouth']"
6864,唈,['to sob']
6865,唉,['alas']
6866,唌,[]
6867,唍,[]
6868,唎,"['sound', 'noise', 'final particle']"
6869,唕,[]
6870,唪,"['to recite', 'to intone', 'to chant']"
6871,唫,"['to hum', 'to intone', 'to close', 'to shut']"
6872,唲,['forced laughter']
6873,唵,['syllable']
6874,唶,"['sigh', 'groan', 'loud laughter']"
6875,唻,[]
6876,唼,"['speaking evil', 'gobbling sound made by ducks']"
6877,唽,['to twitter']
6878,啁,"['chirp', 'twitter', 'twittering']"
6879,啇,"['the stalk', 'the stem', 'the foot', 'the base']"
6880,啉,"['stupid', 'slow']"
6881,啊,['exclamatory particle']
6882,啍,['creak']
6883,啐,"['to taste', 'to sip', 'to spit', 'the sound of sipping', 'to surprise']"
6884,啑,[]
6885,啘,[]
6886,啚,[]
6887,啛,[]
6888,啞,"['dumb', 'mute', 'become hoarse']"
6889,啠,"['philosophy', 'clear']"
6890,啡,"['morphine', 'coffee']"
6891,啤,['beer']
6892,啦,['final particle of assertion']
6893,啿,[]
6894,喁,"['the mouth of a fish at the surface of the water', 'gasping for breath']"
6895,喂,"['interjection', 'to call attention']"
6896,喆,"['a sage', 'wise', 'sagacious']"
6897,喈,"['music', 'melody']"
6898,喎,['wry mouth']
6899,喏,['respectful reply of assent to superiors']
6900,喑,"['to be dumb', 'the sobbing of infants']"
6901,喒,"['dual pronoun', 'I', 'you and me', 'we two']"
6902,喓,"['chirping', 'buzzing']"
6903,喔,['descriptive of the crying of a crow']
6904,喗,[]
6905,喣,['to breathe upon']
6906,喤,"['ah', 'harmony']"
6907,喭,"['condole with', 'coarse']"
6908,喲,"['ah', 'final particle']"
6909,喿,['chirping of birds']
6910,嗁,"['give forth sound', 'make noise']"
6911,嗃,['flute']
6912,嗆,"['choke by smoke', 'irritates nose']"
6913,嗉,"[""bird's crop or craw"", 'wine pot']"
6914,嗋,[]
6915,嗌,['the throat']
6916,嗎,['final interrogative particle']
6917,嗑,"['eat seeds', 'reproach', 'loquacious']"
6918,嗒,['appear to have forgotten everything']
6919,嗓,"['voice', 'throat']"
6920,嗗,[]
6921,嗘,[]
6922,嗛,"['pouch', 'hold', 'content', 'insufficient', 'put in mouth']"
6923,嗞,"['to consult about', 'to plan', 'to report in writing to an equal', 'a despatch']"
6924,嗢,"['choke', 'suffocate', 'vomit', 'laugh heartily']"
6925,嗩,['flute-like musical instrument']
6926,嗶,['used in transliterations']
6927,嗿,['gobble']
6928,嘅,"['sound of sighing', '(Cantonese) possessive']"
6929,嘈,['noisy']
6930,嘊,"['wrangle', 'growl at']"
6931,嘍,['used in onomatopoeic expression']
6932,嘎,"['sound of laughter', 'bad', 'malevolent']"
6933,嘏,"['felicity', 'prosperity', 'large and strong']"
6934,嘐,['final exclamatory particle']
6935,嘑,"['to menace', 'to howl at', 'to bawl']"
6936,嘒,['sharp']
6937,嘙,[]
6938,嘬,"['to lap', 'to suck']"
6939,嘰,"['sigh in disapproval', 'take small']"
6940,嘳,[]
6941,嘵,"['garrulous', 'disturbed', 'restless']"
6942,嘷,"['the roaring of wild beasts', 'to howl', 'to wail', 'to bawl']"
6943,嘹,['used to describe clearness of voice']
6944,嘻,"['mirthful', 'happy', 'interjection']"
6945,嘼,[]
6946,嘽,"['pant', 'many']"
6947,嘿,"['be silent', 'be quiet']"
6948,噀,"['spurt out of the mouth', 'blow out water']"
6949,噁,"['nastiness', 'nauseate', 'sickening']"
6950,噃,[]
6951,噄,[]
6952,噆,"['put in the mouth', 'bite', 'chew']"
6953,噉,"['bite', 'chew']"
6954,噋,"['to swallow hastily', 'to gobble up']"
6955,噍,"['chew', 'eat', 'munch']"
6956,噏,"['inhale', 'absorb', 'imbibe', 'compress']"
6957,噔,['syllable']
6958,噞,"[""the movement of a fish's mouth at the surface of the water""]"
6959,噠,['sound made get horse move forward']
6960,噡,[]
6961,噢,"['moan', 'interjection for pain', 'sad']"
6962,噣,[]
6963,噦,"['belch', 'vomit']"
6964,噩,"['bad', 'ill-omened', 'unlucky']"
6965,噭,['shout']
6966,噯,"['interjection', 'exclamation', 'breathe']"
6967,噱,"['laugh heartily', 'laugh aloud']"
6968,噲,"['swallow', 'gulp down', 'greedy']"
6969,噵,[]
6970,嚄,['roar']
6971,嚅,['talk indistinctly and falteringly']
6972,嚈,"['Hephthalite empire', ""to have one's breath taken""]"
6973,嚋,[]
6974,嚌,['sip']
6975,嚕,"['verbose', 'talkative', 'mumbling']"
6976,嚙,"['bite', 'gnaw']"
6977,嚚,"['argumentative', 'talkative']"
6978,嚝,[]
6979,嚞,"['philosophy', 'clear']"
6980,嚟,[]
6981,嚦,['used in onomatopoeic expression']
6982,嚧,[]
6983,嚨,['throat']
6984,嚩,"[""used to transliterate Sanskrit 'va'""]"
6985,嚫,[]
6986,嚬,"['frown', 'scowl']"
6987,嚭,"['mound', 'lump', 'stealthily']"
6988,嚱,[]
6989,嚳,"['mythical emperor', 'to inform quickly', 'an urgent communication']"
6990,嚷,"['shout', 'brawl', 'make uproar', 'cry']"
6991,嚾,"['make a racket', 'call out to']"
6992,囅,['smile']
6993,囉,"['exclamatory final particle', 'nag']"
6994,囊,"['bag', 'purse', 'sack', 'put in bag']"
6995,囋,"['to slander', 'to libel', 'to criticize', 'chatty', 'gossipy']"
6996,囏,"['difficult', 'trying', 'be distressed', ""parent's funeral ceremony"", 'mourning', 'perilous']"
6997,囐,[]
6998,囌,"['loquacious', 'nag']"
6999,囍,['double happiness']
7000,囙,[]
7001,囜,[]
7002,囝,"['baby', 'infant']"
7003,囟,"['top of the head', 'skull']"
7004,囡,"[""one's daughter"", 'to filch', 'to secrete']"
7005,囤,"['grain basket', 'bin for grain']"
7006,囥,['hide']
7007,囦,[]
7008,囧,"['light', 'clear', 'bright']"
7009,囨,['sound of spitting']
7010,囱,['chimney']
7011,囫,"['entire', 'whole']"
7012,园,"['garden', 'park', 'orchard']"
7013,囶,['country']
7014,囷,['round-shaped storage bin for grain']
7015,圁,[]
7016,圂,"['pig-sty', 'privy']"
7017,圇,"['all', 'complete', 'entire']"
7018,圊,"['rest room', 'privy']"
7019,圌,['fence']
7020,圑,[]
7021,圕,['library']
7022,圚,[]
7023,圛,"['used in place names', 'stratus']"
7024,圝,['entire']
7025,圠,[]
7026,圢,[]
7027,圣,"['holy', 'sacred']"
7028,圤,[]
7029,圥,['mushroom']
7030,圩,"['dike', 'embankment']"
7031,圪,[]
7032,圬,['plaster over with layer of mud']
7033,圮,"['destroyed', 'ruined', 'to subvert', 'to injure']"
7034,圯,"['bridge', 'bank']"
7035,圳,"['furrow in field', 'small drainage']"
7036,圴,[]
7037,圽,[]
7038,圾,"['garbage', 'rubbish', 'shaking', 'danger']"
7039,圿,[]
7040,坅,[]
7041,坆,[]
7042,坌,"['dust', 'earth', 'bank of earth', 'to dig', 'to bring together']"
7043,坍,"['collapse', 'landslide']"
7044,坒,"['to compare', 'to match', 'to equal']"
7045,坢,[]
7046,坥,[]
7047,坧,[]
7048,坨,[]
7049,坫,['stand on which to replace goblets after drinking']
7050,坭,"['mud', 'mire', 'to paste', 'to plaster']"
7051,坮,"['platform', 'unit', 'term of address']"
7052,坯,"['dam', 'embankment', 'weir']"
7053,坰,['wilds']
7054,坱,['dust']
7055,坳,"['hollow in the ground', 'cavity', 'undulating']"
7056,坴,"['clod of earth', 'land']"
7057,坵,"['earthenware', 'earthenware vessel']"
7058,坷,"['clod of earth', 'lump of soil']"
7059,坹,[]
7060,坺,[]
7061,坻,"['an islet', 'rock in a river', 'embankment', 'to stop']"
7062,坼,"['split', 'tear', 'open']"
7063,坾,[]
7064,垁,[]
7065,垃,"['garbage', 'refuse', 'waste']"
7066,垌,[]
7067,垔,"['to restrain', 'to dam a stream and change its direction', 'mound']"
7068,垗,['sacrifice']
7069,垙,[]
7070,垚,"['mound', 'roundish mass']"
7071,垜,"['heap', 'firing mound']"
7072,垝,"['dilapidated', 'ruined']"
7073,垞,"['small mound', 'place name', 'hillock']"
7074,垟,[]
7075,垡,"['plow soil', 'place name']"
7076,垕,['used in place names']
7077,垧,['variable unit of land measure']
7078,垨,[]
7079,垩,"['holy', 'sacred', 'sage', 'simplification of white earth', 'daub with white mud']"
7080,垬,[]
7081,垸,[]
7082,垽,[]
7083,埇,['name of bridge']
7084,埈,"['high', 'steep', 'towering', 'stern']"
7085,埌,['waste']
7086,埏,"['boundary', 'limit']"
7087,埕,[]
7088,埝,"['bank', 'dike', 'protuberance']"
7089,埞,[]
7090,埤,"['add', 'increase', 'attach', 'low fence']"
7091,埦,['bowl']
7092,埧,['dam']
7093,埩,[]
7094,埭,"['dam', 'jock', 'inclined plane on a canal, where boats can be hauled up or down']"
7095,埰,['fief']
7096,埵,"['hardened dirt or clay', 'cluster']"
7097,埶,['art']
7098,埸,"['border', 'limit', 'dike', 'frontier', 'boundary']"
7099,埽,"['broom', 'to sweep', 'clear away']"
7100,埾,[]
7101,埿,[]
7102,堃,"['compliance', 'obedience', 'female']"
7103,堄,['parapet']
7104,堈,"['earthen jug', 'crock', 'cistern']"
7105,堉,"['ground', 'fertile land']"
